Unnamed: 0,A2M (2),ABCB1 (5243)
ACH-000042,0.043655894825191,-0.1561173215424952
ACH-000074,0.2053964188039772,-0.1706667674536114
ACH-000114,-0.0990164752065261,-0.0189306201602186
ACH-000127,-0.0242861089987482,-0.1337207818821323
ACH-000128,0.0094816943527156,-0.0048459140479264
ACH-000133,0.11676155252732,0.042079692786562
ACH-000153,-0.0401648042494261,-0.0808802968614892
ACH-000164,-0.0135767294688906,-0.0793296206687872
ACH-000176,-0.0514356450013423,-0.0636307764170543
ACH-000189,-0.124444435504522,0.0658095250141738
ACH-000208,-0.0499222572538637,-0.0188553144756077
ACH-000210,0.0543641756356357,-0.3077767984892707
ACH-000242,0.1571687293411721,-0.1418299758823917
ACH-000251,-0.0223610559224885,-0.0440524910070982
ACH-000288,0.1348003774295018,-0.0888431806020488
ACH-000325,0.1391838267116774,-0.1103263247705224
ACH-000331,0.0725198014027004,-0.1279605608356149
ACH-000356,0.119329819142528,-0.1879152933242808
ACH-000398,-0.1350852020350948,-0.0289171474128889
ACH-000470,0.1775079379706964,-0.0279717887677545
ACH-000476,0.1005916484482555,-0.0011928621610789
ACH-000480,0.1213248735027263,0.0123707088997932
ACH-000489,-0.01929881318812,-0.1587409887949755
ACH-000545,0.1537571700842409,-0.0107147528549721
ACH-000556,0.1098580632420248,-0.1478699781379469
ACH-000580,0.0655204592928955,-0.164044954533116
ACH-000596,0.1896313343293787,-0.1527463416218791
ACH-000597,0.2830276012156318,-0.0883751462159494
ACH-000665,0.2101353290348675,-0.1302166082130231
ACH-000671,0.05862253348708,-0.0546687792559551
ACH-000747,-0.1398869312466856,-0.0287245987366167
ACH-000763,0.0687610632746761,-0.076848205906388
ACH-000765,0.0289114894679445,-0.1272940007114674
ACH-000785,-0.0807686714663661,-0.0411093341309045
ACH-000817,0.040051574644794,-0.0746714978411306
ACH-000821,-0.0209877107265856,-0.2078353517403589
ACH-000851,-0.0258196297235759,0.032461789410911
ACH-000880,0.1692085280431954,-0.0167132281034055
ACH-000914,-0.0794203727910263,-0.0089656384239509
ACH-000941,-0.010401776829686,-0.1911297933504401
ACH-000963,-0.0277314414018286,0.1631322963741551
ACH-000973,0.0353784851632821,-0.0916329697201564
ACH-000984,-0.0696805142585446,-0.0328966432906416
ACH-001041,0.0351589921727846,-0.1337720196461545
ACH-001048,-0.0100167115078047,-0.0494202670017914
ACH-001067,0.0969455436450191,-0.0166616762529043
ACH-001081,-0.0380424355103803,0.3393666025261012
ACH-001119,0.1072731618828668,-0.3284124246164195
ACH-001145,0.1167307976277583,-0.0521846418312297
ACH-001184,-0.0706189920755233,-0.0870464866091027
ACH-001274,0.0982222013074522,-0.0983034331230761
ACH-001333,0.1418798197902707,-0.0270328664631186
ACH-001335,-0.0023785640463362,-0.0416890789227461
ACH-001376,-0.0478316850024472,0.0243936565455287
ACH-001379,-0.1565026910494635,-0.0939882283845195
ACH-001389,0.0826065471602278,-0.0529029924612752
ACH-001401,-0.1645197225762878,-0.4506100870733332
ACH-001403,0.0548623105489566,-0.0460898593227963
ACH-001413,0.0399340548956544,0.0899380448524522
ACH-001498,0.0099742644100706,0.0518775526997295
ACH-001521,-0.0138593029365996,-0.1214869278073947
ACH-001525,0.0487266958494944,-0.1799829685642899
ACH-001526,0.0444892340610034,-0.2044008907611618
ACH-001529,0.1186128055451636,-0.1034765732354996
ACH-001552,-0.326386128173957,0.0636476309246345
ACH-001566,-0.0656221391960407,-0.1323143678365557
ACH-001605,-0.0990609881604444,-0.2292998467995828
ACH-001618,-0.0630679434874165,-0.0735559335296547
ACH-001627,0.1109670098195597,-0.10267033634038
ACH-001639,-0.1094230529429106,0.3438216250605376
ACH-001649,-0.0718325476539809,-0.2805231130989048
ACH-001652,-0.0554703956537648,-0.1736009097984232
ACH-001669,-0.0334786089363103,-0.1624476806249164
ACH-001677,-0.314388956818156,0.096775470728479
ACH-001711,0.0076623325318085,0.0147763267410613
ACH-001740,-0.1778179090497635,-0.1560410944557421
ACH-001795,0.0725245850038067,-0.0274023752668809
ACH-001796,0.0986817485140317,0.0303880961685202
ACH-001799,-0.0230190483085357,-0.1579853482060086
ACH-001836,0.0537275366450098,-0.009497455256127
ACH-001849,-0.0977792022880699,-0.0705032615594177
ACH-001857,-0.126799272221671,-0.0389780365568296
ACH-001862,-0.0112174863035661,-0.1209480285018769
ACH-001997,-0.0775885127506934,-0.043649347189715
ACH-002003,-0.0662525854731483,-0.1521472682469553
ACH-002019,0.0016603342119954,-0.111073065586883
ACH-002023,0.0145366731218965,-0.1358020196471612
ACH-002265,0.1053746788414919,-0.0751203194322313
ACH-002298,0.0962062773248537,0.1806720935744509
ACH-002305,0.1866660199388845,-0.2262731598270818
ACH-002470,-0.1492817038055999,0.0919938113749303
ACH-002705,0.1676989664750768,-0.1164656460609739
ACH-002706,0.0100967487224536,-0.1653021331935089
ACH-002778,0.1072268935912895,-0.3592975953508113
ACH-002800,0.2235745002280452,-0.039526857602081
ACH-002801,-0.0213457678282786,-0.0007048166348116
ACH-000001,0.0123779616275835,-0.3897110016576477
ACH-000007,0.053667251419905,-0.1171210589992385
ACH-000013,-0.0434302424968332,-0.0595270539690434
ACH-000024,-0.0182630445889946,-0.1220302630920347
ACH-000026,0.1118159476663859,-0.1632510527316318
ACH-000078,0.0584882419333132,0.0050359376291218
ACH-000100,0.241845832903387,-0.0221314438802467
ACH-000103,-0.0955810892794208,0.1297991176107044
ACH-000123,-0.1746975879634099,-0.0914832930103735
ACH-000142,-0.0172444985303964,-0.1006165483510803
ACH-000155,-0.0555059483172099,0.0647642251725232
ACH-000163,0.1541123048968453,-0.0414554594605256
ACH-000168,0.0239137566891561,-0.1471775415149602
ACH-000181,-0.0536288541052469,-0.1989477223148042
ACH-000221,-0.026112473326042,-0.0802375521762016
ACH-000227,-0.1195861974914713,-0.1610118103117664
ACH-000250,-0.0179199976476396,-0.0014229724007703
ACH-000272,-0.0476650723043271,-0.0178130736704791
ACH-000310,0.0114638690465424,-0.024905887134296
ACH-000345,-0.2349816910211045,0.0584531885738607
ACH-000365,-0.1054778227488519,-0.164348738835824
ACH-000378,-0.0648670071905859,0.0386731750340892
ACH-000383,0.0273963876636583,-0.1598035008507105
ACH-000387,-0.1172035509296975,-0.0092027612301413
ACH-000395,0.0061976141911708,-0.1451103627120839
ACH-000422,0.1927489176322976,-0.0683631907906596
ACH-000458,0.0068437712469382,-0.025381953922361
ACH-000460,-0.0621319180506881,-0.0856831292420025
ACH-000466,-0.0601805951755171,-0.0473441001449667
ACH-000501,0.295005126841142,-0.0634530275505197
ACH-000512,0.0180418900055907,-0.097640511976233
ACH-000520,0.0952984328865514,-0.0858084751693726
ACH-000571,-0.0489960925116092,-0.0209416502411342
ACH-000583,-0.128299981304932,-0.028700964223898
ACH-000595,0.0206443111083651,-0.0851181005836745
ACH-000607,0.1542206193906448,-0.0662362442818557
ACH-000648,0.0659179067322252,0.1337518428396145
ACH-000664,0.0847225282683994,-0.0695614857213122
ACH-000713,-0.0144965762478183,-0.1736520753670949
ACH-000724,0.0033607126226111,-0.1342119200895465
ACH-000757,-0.1003762337553483,-0.0828136128270692
ACH-000762,-0.0922215329018286,-0.105792410413134
ACH-000767,-0.1004162944594279,-0.1004961508858935
ACH-000774,-0.1007520314920837,-0.0580388370802517
ACH-000778,0.0507729427527041,-0.0305643249636002
ACH-000782,0.0085622546345308,-0.0538407314233276
ACH-000799,0.1353169764674212,0.0806522404590553
ACH-000840,-0.0238270903501689,-0.0717210222014994
ACH-000841,-0.0226504232227101,-0.1653360701497291
ACH-000847,0.0553883576986081,-0.2156834848514812
ACH-000885,0.0907284522318374,-0.0373170035568575
ACH-000886,0.0691681704700225,-0.0980392151494714
ACH-000921,0.0293055352488479,-0.1863057161757076
ACH-000929,-0.1421483213040715,-0.2365664864970579
ACH-000945,0.0200988438457448,-0.6165780552155142
ACH-000956,0.264314446982925,-0.3763041982679001
ACH-000975,0.0557918316564387,-0.0745518506568735
ACH-000986,-0.1132893732092172,-0.1244765848520465
ACH-001036,0.1222581978245559,-0.3148695922756633
ACH-001061,0.044694724991429,-0.0509291002379281
ACH-001098,-0.0478537594293012,-0.1965840474133875
ACH-001183,0.0581149789140556,-0.2059740188661247
ACH-001295,-0.0112408745351977,0.0383325558794479
ACH-001334,0.0671920594739766,-0.0401037353705327
ACH-001370,0.0885093530154107,-0.0235340752003433
ACH-001442,-0.0580083490857068,-0.1857156632977457
ACH-001443,-0.075910360345791,-0.0551591929056606
ACH-001484,0.227999904873006,-0.1740282297449037
ACH-001495,-0.1669405802375687,0.0215938292078925
ACH-001502,0.2602886136769342,0.1705949315698885
